input_V,input_E,elapsed_time,cpu_time,memory_usage,output_V,output_E,root_node
10,0,0.08440017700195312,0.07100000000015427,0,10,0,4
10,0,0.06365776062011719,0.04500000000007276,0,10,0,9
10,0,0.0438690185546875,0.0439999999990448,0,10,0,4
10,0,0.021219253540039062,0.021000000000270802,0,10,0,7
10,0,0.02384185791015625,0.023000000000550358,0,10,0,5
10,0,0.03838539123535156,0.03799999999998249,0,10,0,9
10,0,0.020742416381835938,0.021000000000270802,0,10,0,9
10,0,0.02193450927734375,0.021000000000270802,0,10,0,6
10,0,0.020503997802734375,0.019999999999242846,0,10,0,0
10,0,0.021696090698242188,0.0219999999995224,0,10,0,3
16,0,0.05745887756347656,0.0649999999993156,0,16,0,6
16,0,0.06341934204101562,0.0630000000008124,0,16,0,4
16,0,0.08082389831542969,0.0800000000005241,0,16,0,11
16,0,0.04410743713378906,0.0439999999990448,0,16,0,12
16,0,0.04482269287109375,0.08700000000061436,0,16,0,2
16,0,0.04482269287109375,0.047000000000352316,0,16,0,0
16,0,0.04410743713378906,0.04400000000082116,0,16,0,14
16,0,0.045299530029296875,0.04599999999932436,0,16,0,8
16,0,0.045299530029296875,0.04500000000007276,0,16,0,2
16,0,0.04458427429199219,0.04500000000007276,0,16,0,13
27,0,0.07677078247070312,0.07599999999996498,0,27,0,15
27,0,0.0705718994140625,0.07000000000090267,0,27,0,19
27,0,0.06985664367675781,0.07000000000090267,0,27,0,14
27,0,0.06937980651855469,0.06899999999987472,0,27,0,7
27,0,0.06985664367675781,0.07000000000090267,0,27,0,14
27,0,0.10418891906738281,0.10400000000032605,0,27,0,14
27,0,0.06985664367675781,0.06999999999912632,0,27,0,20
27,0,0.0705718994140625,0.07100000000015427,0,27,0,17
27,0,0.07081031799316406,0.07100000000015427,0,27,0,20
27,0,0.06961822509765625,0.06899999999987472,0,27,0,9
46,0,0.13327598571777344,0.13199999999891077,0,46,0,22
46,0,0.11277198791503906,0.11299999999891952,0,46,0,21
46,0,0.08249282836914062,0.08200000000080365,0,46,0,5
46,0,0.12254714965820312,0.1230000000003173,0,46,0,23
46,0,0.08893013000488281,0.09000000000014552,0,46,0,4
46,0,0.0762939453125,0.07699999999921658,0,46,0,1
46,0,0.09131431579589844,0.09199999999864872,0,46,0,2
46,0,0.110626220703125,0.11099999999863996,0,46,0,23
46,0,0.04839897155761719,0.048999999998855515,0,46,0,12
46,0,0.0476837158203125,0.047000000000352316,0,46,0,0
77,0,0.11420249938964844,0.11199999999966792,0,77,0,17
77,0,0.07939338684082031,0.07899999999949614,0,77,0,26
77,0,0.07605552673339844,0.07500000000071338,0,77,0,43
77,0,0.0762939453125,0.06800000000062312,0,77,0,45
77,0,0.07557868957519531,0.06699999999959516,0,77,0,56
77,0,0.10657310485839844,0.09499999999995623,0,77,0,8
77,0,0.15974044799804688,0.1600000000010482,0,77,0,29
77,0,0.14019012451171875,0.140000000000029,0,77,0,74
77,0,0.14090538024902344,0.1409999999992806,0,77,0,12
77,0,0.1513957977294922,0.15100000000067837,0,77,0,31
129,0,0.33354759216308594,0.3310000000009694,0,129,0,101
129,0,0.29778480529785156,0.2990000000000492,0,129,0,17
129,0,0.1437664031982422,0.1440000000005881,0,129,0,86
129,0,0.12302398681640625,0.1230000000003173,0,129,0,123
129,0,0.1342296600341797,0.13399999999919032,0,129,0,74
129,0,0.11777877807617188,0.11800000000050659,0,129,0,55
129,0,0.11706352233886719,0.11699999999947863,0,129,0,42
129,0,0.13065338134765625,0.1299999999986312,0,129,0,116
129,0,0.11682510375976562,0.11699999999947863,0,129,0,67
129,0,0.11706352233886719,0.11699999999947863,0,129,0,78
215,0,0.4711151123046875,0.4670000000004393,0,215,0,101
215,0,0.3628730773925781,0.36399999999936483,0,215,0,85
215,0,0.362396240234375,0.36300000000011323,0,215,0,180
215,0,0.43463706970214844,0.43600000000054706,0,215,0,37
215,0,0.39768218994140625,0.3979999999987882,0,215,0,6
215,0,0.5118846893310547,0.5129999999997636,0,215,0,29
215,0,0.4107952117919922,0.41099999999971715,0,215,0,76
215,0,0.29921531677246094,0.3000000000010772,0,215,0,130
215,0,0.23102760314941406,0.23100000000120247,0,215,0,138
215,0,0.22602081298828125,0.226999999998867,0,215,0,67
359,0,0.6453990936279297,0.6420000000009196,0,359,0,150
359,0,0.9200572967529297,0.9209999999999496,0,359,0,206
359,0,0.9517669677734375,0.9540000000001214,0,359,0,104
359,0,0.9999275207519531,1.0020000000015017,0,359,0,197
359,0,0.67901611328125,0.6810000000001537,0,359,0,254
359,0,0.5977153778076172,0.59899999999935,0,359,0,82
359,0,0.7176399230957031,0.7190000000001362,0,359,0,132
359,0,0.9756088256835938,0.978999999999175,0,359,0,79
359,0,0.7276535034179688,0.728000000000506,0,359,0,60
359,0,0.36787986755371094,0.36799999999992394,0,359,0,73
599,0,0.8966922760009766,0.7939999999990732,0,599,0,194
599,0,1.073598861694336,0.9510000000005903,0,599,0,262
599,0,0.7274150848388672,0.6450000000004508,0,599,0,345
599,0,0.6947517395019531,0.6940000000010826,0,599,0,497
599,0,0.7927417755126953,0.7940000000008496,0,599,0,129
599,0,0.6530284881591797,0.6529999999997926,0,599,0,534
599,0,0.6253719329833984,0.6260000000004595,0,599,0,502
599,0,0.8280277252197266,0.8090000000002817,0,599,0,362
599,0,1.2044906616210938,1.2049999999987904,0,599,0,413
599,0,1.1096000671386719,1.1089999999995825,0,599,0,174
1000,0,2.0873546600341797,2.085999999998478,0,1000,0,202
1000,0,1.5892982482910156,1.5819999999990841,0,1000,0,283
