input_V,input_E,elapsed_time,cpu_time,memory_usage,output_V,output_E,root_node
10,0,0.6108283996582031,0.6170000000000897,0,10,0,0
10,0,0.14281272888183594,0.11500000000008725,0,10,0,6
10,0,0.13208389282226562,0.10599999999971743,0,10,0,7
10,0,0.21839141845703125,0.1760000000006201,0,10,0,5
10,0,0.19431114196777344,0.1559999999996009,0,10,0,9
10,0,0.22077560424804688,0.1769999999998717,0,10,0,6
10,0,0.20956993103027344,0.16899999999964166,0,10,0,5
10,0,0.19979476928710938,0.1609999999994116,0,10,0,2
10,0,0.20432472229003906,0.16400000000071913,0,10,0,8
10,0,0.2117156982421875,0.17000000000066962,0,10,0,8
13,0,0.7421970367431641,0.2529999999998367,0,13,0,2
13,0,0.25343894958496094,0.21800000000027353,0,13,0,11
13,0,0.22292137145996094,0.22400000000022402,0,13,0,7
13,0,0.2651214599609375,0.26599999999987745,0,13,0,2
13,0,0.24080276489257812,0.2409999999999357,0,13,0,10
13,0,0.2760887145996094,0.2770000000005268,0,13,0,7
13,0,0.27441978454589844,0.27500000000024727,0,13,0,5
13,0,0.23317337036132812,0.23299999999970566,0,13,0,0
13,0,0.21123886108398438,0.21099999999929508,0,13,0,10
13,0,0.23031234741210938,0.2310000000003143,0,13,0,0
18,0,0.33164024353027344,0.33100000000008123,0,18,0,10
18,0,0.2624988555908203,0.35100000000021225,0,18,0,16
18,0,0.2357959747314453,0.236000000000125,0,18,0,15
18,0,0.24652481079101562,0.2469999999998862,0,18,0,17
18,0,0.23317337036132812,0.22700000000064335,0,18,0,11
18,0,0.23627281188964844,0.236000000000125,0,18,0,12
18,0,0.20742416381835938,0.20699999999962415,0,18,0,13
18,0,0.2002716064453125,0.20100000000056184,0,18,0,1
18,0,0.20456314086914062,0.20500000000023277,0,18,0,4
18,0,0.21219253540039062,0.21299999999957464,0,18,0,6
24,0,0.28896331787109375,0.3700000000002035,0,24,0,19
24,0,0.2372264862060547,0.23800000000040455,0,24,0,20
24,0,0.23627281188964844,0.23700000000026478,0,24,0,16
24,0,0.24962425231933594,0.24999999999941735,0,24,0,2
24,0,0.21910667419433594,0.2199999999996649,0,24,0,5
24,0,0.22363662719726562,0.22400000000022402,0,24,0,2
24,0,0.22482872009277344,0.22499999999947562,0,24,0,10
24,0,0.2655982971191406,0.2670000000000172,0,24,0,6
24,0,0.25272369384765625,0.25399999999997647,0,24,0,1
24,0,0.5011558532714844,0.032000000000032,0,24,0,10
33,0,0.29659271240234375,0.0,0,33,0,7
33,0,0.27108192443847656,0.0,0,33,0,20
33,0,0.23317337036132812,0.0,0,33,0,30
33,0,0.23674964904785156,0.0,0,33,0,26
33,0,0.23818016052246094,0.0,0,33,0,16
33,0,0.24080276489257812,0.0,0,33,0,14
33,0,0.24175643920898438,0.0,0,33,0,31
33,0,0.23627281188964844,0.06099999999964467,0,33,0,27
33,0,0.22983551025390625,0.18500000000010175,0,33,0,20
33,0,0.2269744873046875,0.1820000000005706,0,33,0,31
44,0,0.3192424774169922,0.31900000000018025,0,44,0,10
44,0,0.26607513427734375,0.2670000000000172,0,44,0,35
44,0,0.23865699768066406,0.23800000000040455,0,44,0,1
44,0,0.23221969604492188,0.23299999999970566,0,44,0,24
44,0,0.25153160095214844,0.2520000000005851,0,44,0,23
44,0,0.22530555725097656,0.22499999999947562,0,44,0,9
44,0,0.2205371856689453,0.22099999999980469,0,44,0,25
44,0,0.2257823944091797,0.22700000000064335,0,44,0,1
44,0,0.21958351135253906,0.2200000000005531,0,44,0,41
44,0,0.2219676971435547,0.22199999999994446,0,44,0,32
60,0,0.3185272216796875,0.25499999999922807,0,60,0,30
60,0,0.301361083984375,0.024999999999941735,0,60,0,33
60,0,1.4181137084960938,0.0,0,60,0,33
60,0,0.3085136413574219,0.0,0,60,0,28
60,0,0.4248619079589844,0.0,0,60,0,48
60,0,0.3631114959716797,0.0,0,60,0,29
60,0,0.40078163146972656,0.0,0,60,0,23
60,0,0.4715919494628906,0.0,0,60,0,32
60,0,0.4482269287109375,0.0,0,60,0,2
60,0,0.29540061950683594,0.23800000000040455,0,60,0,45
81,0,0.4973411560058594,0.3970000000004248,0,81,0,73
81,0,0.4544258117675781,0.3659999999996444,0,81,0,16
81,0,0.38242340087890625,0.3219999999997114,0,81,0,7
81,0,0.3268718719482422,0.3269999999995221,0,81,0,28
81,0,0.32782554626464844,0.3279999999996619,0,81,0,8
81,0,0.3228187561035156,0.32399999999999096,0,81,0,70
81,0,0.6227493286132812,0.3500000000000725,0,81,0,76
81,0,0.4315376281738281,0.37800000000043354,0,81,0,44
81,0,0.3247261047363281,0.32500000000013074,0,81,0,50
81,0,0.3135204315185547,0.31300000000022976,0,81,0,9
110,0,0.4839897155761719,0.4820000000007596,0,110,0,53
110,0,0.3802776336669922,0.3800000000007131,0,110,0,32
110,0,0.37026405334472656,0.3709999999994551,0,110,0,20
110,0,0.3902912139892578,0.3910000000004743,0,110,0,89
110,0,0.377655029296875,0.37800000000043354,0,110,0,88
110,0,0.3705024719238281,0.3700000000002035,0,110,0,25
110,0,0.3657341003417969,0.3659999999996444,0,110,0,83
110,0,0.3936290740966797,0.39400000000000546,0,110,0,87
110,0,0.36644935607910156,0.36699999999978417,0,110,0,13
110,0,0.3840923309326172,0.3850000000005238,0,110,0,101
149,0,0.5745887756347656,0.5720000000000169,0,149,0,78
149,0,0.4355907440185547,0.4349999999995191,0,149,0,140
149,0,0.4112720489501953,0.4119999999998569,0,149,0,40
149,0,0.43463706970214844,0.4350000000004073,0,149,0,21
